City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Lasa,IT,46.6166,10.7002,36.0,74,0,8.05,clear sky
80,Khatanga,RU,71.9667,102.5,-15.7,90,10,4.59,clear sky
81,Shelburne,CA,44.0787,-80.2041,37.99,72,87,7.96,overcast clouds
82,Kavieng,PG,-2.5744,150.7967,84.29,69,100,3.22,overcast clouds
83,Mandurah,AU,-32.55,115.7,66.0,77,100,14.99,light rain
84,Vysokogornyy,RU,50.1167,139.15,25.07,64,94,13.8,overcast clouds
85,Lebu,CL,-37.6167,-73.65,52.97,91,6,7.92,clear sky
86,Lamar,US,33.6668,-95.5836,64.4,39,1,8.05,clear sky
87,Georgetown,MY,5.4112,100.3354,80.6,89,20,3.44,few clouds
88,Port Moresby,PG,-9.4431,147.1797,82.4,74,75,5.75,broken clouds
89,Itarema,BR,-2.9248,-39.9167,79.45,82,67,11.7,broken clouds
90,Gariaband,IN,20.635,82.0614,72.48,26,0,2.1,clear sky
91,Iqaluit,CA,63.7506,-68.5145,-0.4,71,90,3.44,overcast clouds
92,Sobolevo,RU,54.4299,31.8996,32.16,90,83,4.79,broken clouds
93,Punta Arenas,CL,-53.15,-70.9167,37.4,81,20,5.75,few clouds
94,Vao,NC,-22.6667,167.4833,75.74,72,93,25.79,overcast clouds
95,Upernavik,GL,72.7868,-56.1549,-22.85,95,19,6.08,few clouds
96,Wilmington,US,34.2257,-77.9447,48.2,49,1,8.05,clear sky
97,Arbuzynka,UA,47.9097,31.3196,42.62,76,100,3.42,overcast clouds
98,Hermanus,ZA,-34.4187,19.2345,63.0,93,0,1.99,clear sky
99,Kaitangata,NZ,-46.2817,169.8464,69.17,53,34,15.95,scattered clouds
100,Pevek,RU,69.7008,170.3133,-9.06,95,99,5.08,overcast clouds
101,Muyezerskiy,RU,63.9333,31.65,26.83,92,96,7.72,overcast clouds
102,Bredasdorp,ZA,-34.5322,20.0403,51.8,87,0,3.65,clear sky
103,Marawi,PH,7.9986,124.2928,77.38,74,99,3.58,overcast clouds
104,Pisco,PE,-13.7,-76.2167,73.4,78,20,4.61,few clouds
105,Thompson,CA,55.7435,-97.8558,42.8,36,20,5.75,few clouds
106,Saint-Philippe,RE,-21.3585,55.7679,77.0,69,0,4.61,light rain
107,Ponta Do Sol,PT,32.6667,-17.1,57.99,67,45,3.0,scattered clouds
108,Luderitz,NA,-26.6481,15.1594,69.06,56,5,15.64,clear sky
109,Umba,RU,66.6871,34.3429,27.73,92,100,8.72,overcast clouds
110,Saint George,US,37.1041,-113.5841,84.99,9,1,10.36,clear sky
111,Havelock,US,34.8791,-76.9013,50.0,57,1,6.91,clear sky
112,Tocopilla,CL,-22.092,-70.1979,67.84,74,100,3.0,overcast clouds
113,Inta,RU,66.0317,60.1659,8.89,97,80,4.29,broken clouds
114,Hasaki,JP,35.7333,140.8333,72.0,52,75,12.66,broken clouds
115,Tarrafal,CV,15.2833,-23.7667,75.2,46,0,19.57,clear sky
116,Svetlaya,RU,46.5389,138.3297,38.43,42,100,5.12,overcast clouds
117,Batagay-Alyta,RU,67.8006,130.4114,-5.46,86,100,8.1,overcast clouds
118,Labuhan,ID,-6.8844,112.2051,82.63,76,100,8.86,overcast clouds
119,Colares,PT,38.7992,-9.4469,55.99,84,10,7.85,clear sky
120,Tiksi,RU,71.6872,128.8694,-11.56,99,100,7.25,overcast clouds
121,Lerwick,GB,60.1545,-1.1494,46.4,81,75,24.16,broken clouds
122,Avarua,CK,-21.2078,-159.775,84.2,74,97,13.8,overcast clouds
123,Amarillo,US,35.222,-101.8313,73.4,31,1,13.8,clear sky
124,Tautira,PF,-17.7333,-149.15,86.0,66,40,11.5,light rain
125,Ilinskiy,RU,55.619,38.1182,33.01,100,11,2.24,mist
126,Bilma,NE,18.6853,12.9164,71.83,13,11,7.31,few clouds
127,Ahipara,NZ,-35.1667,173.1667,69.3,59,0,5.41,clear sky
128,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,77,20,5.75,few clouds
129,Nome,US,64.5011,-165.4064,23.0,86,90,9.22,mist
130,Nortelandia,BR,-14.4547,-56.8028,77.25,77,69,3.62,broken clouds
131,Pochutla,MX,15.7432,-96.4661,87.8,48,40,11.5,scattered clouds
132,Akyab,MM,20.15,92.9,80.76,74,36,2.75,scattered clouds
133,Ponta Delgada,PT,37.7333,-25.6667,60.8,88,75,16.11,broken clouds
134,Ternate,ID,0.8,127.4,83.48,75,80,7.92,broken clouds
135,Nemyriv,UA,48.9708,28.8378,41.0,79,72,6.22,broken clouds
136,San Andres,CO,12.5847,-81.7006,82.4,74,75,12.66,broken clouds
137,Vardo,NO,70.3705,31.1107,33.42,87,100,20.96,overcast clouds
138,Sinnamary,GF,5.3833,-52.95,77.59,90,99,13.4,moderate rain
139,Waddan,LY,29.1614,16.139,69.19,17,0,7.92,clear sky
140,Karpathos,GR,35.507,27.2132,59.0,88,2,11.5,clear sky
141,Hithadhoo,MV,-0.6,73.0833,83.5,74,10,16.2,clear sky
142,Bluff,NZ,-46.6,168.3333,60.01,90,82,14.0,broken clouds
143,Kruisfontein,ZA,-34.0033,24.7314,59.29,51,0,5.55,clear sky
144,Faanui,PF,-16.4833,-151.75,82.56,70,13,5.14,few clouds
145,Belyy Yar,RU,53.6039,91.3903,26.6,80,12,2.24,few clouds
146,Bethel,US,41.3712,-73.414,44.6,29,1,3.04,clear sky
147,Butaritari,KI,3.0707,172.7902,82.78,77,18,12.97,light rain
148,Denpasar,ID,-8.65,115.2167,84.2,79,40,5.75,scattered clouds
149,Rawah,IQ,34.4816,41.9093,57.58,53,0,6.82,clear sky
150,Oranjemund,NA,-28.55,16.4333,61.02,87,0,7.4,clear sky
151,Victoria,HK,22.2855,114.1577,80.01,83,7,1.01,clear sky
152,Port Blair,IN,11.6667,92.75,80.74,74,56,5.55,broken clouds
153,Kodiak,US,57.79,-152.4072,48.2,49,1,19.57,clear sky
154,Chokurdakh,RU,70.6333,147.9167,-5.71,94,21,5.68,few clouds
155,Wanning,CN,18.8003,110.3967,80.51,75,8,4.9,clear sky
156,Amapa,BR,1.0,-52.0,72.52,97,39,4.23,moderate rain
157,Nikolskoye,RU,59.7035,30.7861,35.01,86,0,4.47,clear sky
158,North Bend,US,43.4065,-124.2243,57.99,76,40,6.91,scattered clouds
159,Mar Del Plata,AR,-38.0023,-57.5575,66.99,88,0,8.05,clear sky
160,Severo-Kurilsk,RU,50.6789,156.125,34.11,96,100,27.25,light snow
161,Touros,BR,-5.1989,-35.4608,75.2,100,75,3.44,broken clouds
162,Salinopolis,BR,-0.6136,-47.3561,77.49,88,100,7.96,overcast clouds
163,Olga,RU,43.7444,135.2892,41.72,27,100,9.82,overcast clouds
164,Masterton,NZ,-40.9597,175.6575,64.0,73,2,5.99,clear sky
165,Pangody,RU,65.85,74.4859,28.4,96,100,7.72,overcast clouds
166,Oistins,BB,13.0667,-59.5333,78.8,61,40,21.85,scattered clouds
167,Altay,CN,47.8667,88.1167,34.59,34,25,8.12,scattered clouds
168,Gamba,GA,-2.65,10.0,74.17,95,100,3.67,moderate rain
169,Novosheshminsk,RU,55.0651,51.2338,33.35,98,100,7.49,light snow
170,Naze,JP,28.3667,129.4833,71.6,94,20,5.75,few clouds
171,Teberda,RU,43.4456,41.7448,31.78,87,34,9.35,scattered clouds
172,Shitanjing,CN,39.2342,106.3439,42.28,43,97,7.92,overcast clouds
173,Pathein,MM,16.7833,94.7333,78.4,72,98,7.9,overcast clouds
174,Tabas,IR,33.5959,56.9244,61.23,20,0,16.15,clear sky
175,Ulaangom,MN,49.9811,92.0667,33.37,39,0,2.59,clear sky
176,Esperance,AU,-33.8667,121.9,66.2,72,90,14.97,overcast clouds
177,Torbay,CA,47.6666,-52.7314,37.99,100,90,13.8,light rain
178,Teya,RU,60.3778,92.6267,29.07,91,96,5.68,overcast clouds
179,Mahebourg,MU,-20.4081,57.7,78.8,89,40,4.61,light rain
180,Yangambi,CD,0.8102,24.4336,69.51,99,100,2.17,light rain
181,Saldanha,ZA,-33.0117,17.9442,64.4,88,0,10.36,clear sky
182,Davila,PH,18.4726,120.5763,80.6,74,20,4.61,few clouds
183,Novopokrovka,UA,49.8425,36.5477,32.0,86,100,2.13,overcast clouds
184,Umm Kaddadah,SD,13.6017,26.6876,72.81,11,100,16.53,overcast clouds
185,Castro,BR,-24.7911,-50.0119,57.2,96,81,4.52,broken clouds
186,Grafton,US,42.207,-71.6856,42.8,21,1,8.05,clear sky
187,Tuy Hoa,VN,13.0833,109.3,80.69,81,85,8.1,overcast clouds
188,Port Elizabeth,ZA,-33.918,25.5701,59.0,88,0,4.61,clear sky
189,Kushmurun,KZ,52.4503,64.6311,36.18,77,100,15.12,overcast clouds
190,General Salgado,BR,-20.6483,-50.3606,68.76,48,54,8.14,broken clouds
191,Sitka,US,57.0531,-135.33,39.2,75,75,3.44,broken clouds
192,Shimoda,JP,34.6667,138.95,69.01,72,75,10.36,broken clouds
193,Davidson,US,36.1501,-86.7833,59.0,26,1,4.99,clear sky
194,Walvis Bay,NA,-22.9575,14.5053,68.0,68,4,4.61,clear sky
195,Okha,RU,53.5739,142.9478,24.42,90,100,31.25,light snow
196,Athabasca,CA,54.7169,-113.2854,46.4,42,100,5.75,overcast clouds
197,Kulhudhuffushi,MV,6.6221,73.07,83.88,61,3,9.13,clear sky
198,Mandalgovi,MN,45.7625,106.2708,36.07,29,0,7.14,clear sky
199,Saskylakh,RU,71.9167,114.0833,-16.6,97,22,1.9,few clouds
200,Cayenne,GF,4.9333,-52.3333,79.0,94,75,10.36,heavy intensity rain
201,Kiunga,PG,-6.1219,141.2906,74.39,95,100,0.92,overcast clouds
202,Clyde River,CA,70.4692,-68.5914,-16.6,76,75,2.3,broken clouds
203,Bengkulu,ID,-3.8004,102.2655,78.91,80,84,17.0,broken clouds
204,Mecca,SA,21.4267,39.8261,69.06,56,0,8.5,clear sky
205,Bouafle,CI,6.9904,-5.7442,78.8,89,8,4.61,clear sky
206,Bathsheba,BB,13.2167,-59.5167,78.8,61,40,21.85,scattered clouds
207,Taoudenni,ML,22.6783,-3.9836,86.65,8,100,8.59,overcast clouds
208,Geraldton,AU,-28.7667,114.6,75.2,53,0,19.57,clear sky
209,Pampierstad,ZA,-27.7832,24.6877,63.16,45,0,4.05,clear sky
210,Fortuna,US,40.5982,-124.1573,55.99,71,1,10.36,clear sky
211,Kjollefjord,NO,70.9457,27.3465,32.22,86,100,18.79,light snow
212,Russell,US,32.3502,-85.1999,62.6,54,1,0.27,clear sky
213,Hambantota,LK,6.1241,81.1185,69.8,100,0,2.3,clear sky
214,Eyl,SO,7.9803,49.8164,78.37,78,90,4.59,overcast clouds
215,Iquique,CL,-20.2208,-70.1431,66.2,77,90,4.61,overcast clouds
216,Mapiri,BO,-15.25,-68.1667,66.85,98,84,0.6,broken clouds
217,San Felix,UY,-32.3333,-58.1333,70.0,74,100,1.99,overcast clouds
218,Khor,RU,47.8861,134.9464,38.26,27,0,16.13,clear sky
219,Nanortalik,GL,60.1432,-45.2371,35.51,98,100,9.55,light rain
220,Trat,TH,12.5,102.5,79.92,84,95,2.98,overcast clouds
221,Nouadhibou,MR,20.931,-17.0347,66.2,77,99,17.27,overcast clouds
222,Dzhebariki-Khaya,RU,62.2167,135.8,3.36,86,98,2.91,overcast clouds
223,Flin Flon,CA,54.7682,-101.865,33.35,82,12,3.38,few clouds
224,Almaznyy,RU,48.0448,40.045,42.8,87,40,11.18,scattered clouds
225,Bubaque,GW,11.2833,-15.8333,75.51,81,74,13.13,broken clouds
226,Taguatinga,BR,-12.3857,-46.5711,75.9,67,49,2.73,scattered clouds
227,East London,ZA,-33.0153,27.9116,61.74,78,5,10.8,clear sky
228,Bandarbeyla,SO,9.4942,50.8122,76.91,79,100,1.86,overcast clouds
229,Sherpur,BD,25.0188,90.0175,74.39,35,0,0.51,clear sky
230,Gladstone,AU,-23.85,151.25,75.2,78,90,16.11,overcast clouds
231,Otofuke,JP,42.9917,143.2003,44.6,93,75,5.75,broken clouds
232,Kropotkin,RU,45.4375,40.5756,47.86,83,96,15.82,overcast clouds
233,Coihaique,CL,-45.5752,-72.0662,50.0,76,100,1.14,overcast clouds
234,Vanimo,PG,-2.6741,141.3028,83.68,72,100,2.1,overcast clouds
235,Sorong,ID,-0.8833,131.25,84.45,71,100,5.91,overcast clouds
236,Dubbo,AU,-32.25,148.6167,75.2,53,100,3.44,overcast clouds
237,Taranagar,IN,28.6709,75.0351,71.17,8,0,9.91,clear sky
238,Listvyanka,RU,51.8535,104.8693,28.4,80,0,2.24,clear sky
239,Young,UY,-32.6833,-57.6333,70.0,74,50,1.99,scattered clouds
240,Kerema,PG,-7.9631,145.7785,77.4,88,100,9.55,overcast clouds
241,Songea,TZ,-10.6833,35.65,61.43,97,99,1.86,overcast clouds
242,Bayanday,RU,53.0661,105.5139,30.76,85,97,5.14,overcast clouds
243,Igualada,ES,41.581,1.6172,53.01,89,85,0.87,overcast clouds
244,Saint-Augustin,CA,51.226,-58.6502,34.56,99,100,6.02,light rain
245,Tarazona,ES,41.9,-1.7333,50.0,66,0,20.71,clear sky
246,Andorra La Vella,AD,42.5045,1.4941,37.0,71,5,7.61,clear sky
247,Sao Filipe,CV,14.8961,-24.4956,72.99,73,100,10.25,overcast clouds
248,Norsup,VU,-16.0667,167.3833,85.12,72,89,9.6,overcast clouds
249,Cidreira,BR,-30.1811,-50.2056,72.52,76,91,16.49,overcast clouds
250,Arraial Do Cabo,BR,-22.9661,-42.0278,76.03,74,11,6.76,few clouds
251,San Patricio,US,28.017,-97.5169,69.8,64,1,13.8,clear sky
252,San Francisco,US,37.7749,-122.4194,57.2,58,75,16.11,broken clouds
253,Daru,PG,-9.0763,143.2092,80.91,75,100,14.85,overcast clouds
254,Longyearbyen,SJ,78.2186,15.6401,21.2,63,75,11.5,light snow
255,Miraflores,MX,19.2167,-98.8083,75.2,12,1,13.8,clear sky
256,Saint Anthony,US,45.0205,-93.218,66.2,17,1,4.61,clear sky
257,Prince Rupert,CA,54.3161,-130.3201,42.8,70,1,4.61,clear sky
258,Malanje,AO,-9.5402,16.341,63.57,97,100,3.15,light rain
259,Labytnangi,RU,66.6572,66.4183,2.68,94,55,4.07,broken clouds
260,Gafanha Da Encarnacao,PT,40.6181,-8.733,55.0,76,5,6.38,clear sky
261,Fereydunshahr,IR,32.941,50.121,30.92,44,0,2.06,clear sky
262,Wewak,PG,-3.5534,143.6268,79.47,84,100,3.53,overcast clouds
263,Puerto Escondido,MX,15.85,-97.0667,84.2,70,1,6.91,clear sky
264,Witu,KE,-2.3889,40.4382,82.4,83,1,6.91,light rain
265,Kungurtug,RU,50.5994,97.5228,22.82,67,50,1.7,scattered clouds
266,Maridi,SS,4.9158,29.4742,68.32,74,98,2.75,overcast clouds
267,Barra Patuca,HN,15.8,-84.2833,75.69,83,28,13.47,scattered clouds
268,Nadym,RU,65.5333,72.5167,29.48,95,100,7.16,overcast clouds
269,Manokwari,ID,-0.8667,134.0833,83.12,71,100,2.75,overcast clouds
270,Mayo,US,38.8876,-76.5119,46.4,53,1,3.44,clear sky
271,Goderich,CA,43.7501,-81.7165,50.0,43,7,5.75,clear sky
272,Kirksville,US,40.1948,-92.5833,69.8,32,1,6.91,clear sky
273,Staryy Nadym,RU,65.6118,72.6842,29.21,96,100,6.93,overcast clouds
274,Saint-Louis,SN,16.3333,-15.0,89.6,27,0,5.03,clear sky
275,Eydhafushi,MV,5.1033,73.0708,82.89,71,11,9.64,few clouds
276,Sur,OM,22.5667,59.5289,84.76,35,6,7.54,clear sky
277,Gushikawa,JP,26.3544,127.8686,71.6,88,90,10.36,overcast clouds
278,Saint-Pierre,RE,-21.3393,55.4781,77.0,69,0,4.61,light rain
279,Swellendam,ZA,-34.0226,20.4417,51.8,87,0,1.23,clear sky
280,Paamiut,GL,61.994,-49.6678,33.12,98,100,4.09,snow
281,Trairi,BR,-3.2778,-39.2689,78.06,86,16,7.96,few clouds
282,Donskoye,RU,45.4552,41.9741,42.8,81,0,15.66,clear sky
283,Tuatapere,NZ,-46.1333,167.6833,60.01,90,100,14.0,light rain
284,Sungairaya,ID,0.7,108.9,81.64,71,81,5.41,broken clouds
285,Cockburn Town,TC,21.4612,-71.1419,76.44,76,37,27.67,scattered clouds
286,Mulege,MX,26.8833,-111.9833,81.52,24,0,3.4,clear sky
287,Tukrah,LY,32.5341,20.5791,69.3,31,64,18.92,broken clouds
288,Maningrida,AU,-12.0667,134.2667,82.58,70,90,10.29,overcast clouds
289,Sibolga,ID,1.7427,98.7792,74.89,86,100,6.67,overcast clouds
290,Tambovka,RU,50.0969,128.0489,41.0,33,20,6.71,few clouds
291,Lorengau,PG,-2.0226,147.2712,84.0,71,98,11.03,moderate rain
292,Usinsk,RU,65.9939,57.5281,21.22,95,100,3.53,overcast clouds
293,Guarda,PT,40.5373,-7.2658,54.0,35,0,8.99,clear sky
294,Sola,VU,-13.8833,167.55,87.8,79,90,6.91,overcast clouds
295,Uvinza,TZ,-5.1036,30.3911,65.12,96,100,2.01,overcast clouds
296,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.19,86,24,7.11,few clouds
297,Aci Castello,IT,37.5583,15.1346,59.0,100,40,3.44,scattered clouds
298,Isla Vista,US,34.4133,-119.861,71.01,63,1,8.19,clear sky
299,Columbus,US,39.9612,-82.9988,57.2,28,20,12.66,few clouds
300,Reyes,BO,-14.3167,-67.3833,71.74,98,21,2.37,light rain
301,Gizo,SB,-8.103,156.8419,85.66,68,87,2.73,light rain
302,Atar,MR,20.5169,-13.0499,82.11,20,29,7.78,scattered clouds
303,Juneau,US,58.3019,-134.4197,41.0,65,75,4.61,broken clouds
304,Narsaq,GL,60.9167,-46.05,39.2,87,90,2.3,light rain
305,Kozhva,RU,65.1073,57.0459,15.15,98,100,2.89,overcast clouds
306,Finote Selam,ET,10.7,37.2667,64.2,58,17,3.4,few clouds
307,Riyadh,SA,24.6877,46.7219,66.2,19,0,14.97,clear sky
308,Hami,CN,42.8,93.45,52.83,13,100,4.88,overcast clouds
309,Cherskiy,RU,68.75,161.3,-0.04,85,39,5.1,scattered clouds
310,Camacha,PT,33.0833,-16.3333,57.2,72,20,3.44,few clouds
311,Ostrovnoy,RU,68.0531,39.5131,22.8,91,100,15.35,overcast clouds
312,Keti Bandar,PK,24.1447,67.4497,79.54,73,0,6.78,clear sky
313,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,68,75,5.75,broken clouds
314,Mizan Teferi,ET,6.9833,35.5833,64.96,83,99,2.53,light rain
315,Aguada De Pasajeros,CU,22.385,-80.8508,73.4,56,87,13.8,overcast clouds
316,Vestmannaeyjar,IS,63.4427,-20.2734,36.97,69,31,32.44,scattered clouds
317,Matara,LK,5.9485,80.5353,75.69,87,26,8.32,scattered clouds
318,Yuzhnyy,RU,53.2542,83.6936,28.4,80,0,4.47,clear sky
319,French Harbor,HN,16.35,-86.4333,78.8,83,40,12.66,scattered clouds
320,Bundaberg,AU,-24.85,152.35,71.6,94,90,14.97,light rain
321,Colac,AU,-38.3333,143.5833,69.01,79,0,6.91,clear sky
322,Grande-Synthe,FR,51.0154,2.2998,44.01,54,100,3.0,overcast clouds
323,Nantucket,US,41.2835,-70.0995,34.0,48,0,9.78,clear sky
324,Ilulissat,GL,69.2167,-51.1,3.2,66,2,9.22,clear sky
325,Klaksvik,FO,62.2266,-6.589,44.6,87,75,27.63,broken clouds
326,Norman Wells,CA,65.282,-126.8329,12.2,57,75,6.91,broken clouds
327,Marzuq,YE,14.4,46.4667,67.86,24,88,4.21,overcast clouds
328,Acapulco,MX,16.8634,-99.8901,84.2,74,1,9.22,clear sky
329,Lesozavodsk,RU,45.4794,133.4244,38.35,29,100,11.14,overcast clouds
330,Simpang,ID,-1.2667,104.0833,79.05,88,85,4.23,light rain
331,Waverly,US,42.7392,-84.6208,55.4,44,1,5.75,clear sky
332,Portland,US,45.5234,-122.6762,68.0,32,1,6.91,clear sky
333,Codrington,AU,-38.2667,141.9667,67.05,66,21,10.33,few clouds
334,Namatanai,PG,-3.6667,152.4333,85.73,64,100,0.74,light rain
335,Guider,CM,9.9342,13.9486,82.31,13,100,6.4,overcast clouds
336,Baykit,RU,61.67,96.37,25.74,93,98,2.04,overcast clouds
337,Katobu,ID,-4.9408,122.5276,83.39,73,100,8.84,light rain
338,Vanavara,RU,60.34,102.2797,24.39,93,99,3.49,overcast clouds
